vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","042","999","0131",2,4707,3.72500000e+01
"02","042","999","0132",5,176,1.38999999e+00
"02","042","999","0133",6,98,7.79999971e-01
"02","042","999","0135",1,5448,4.31199989e+01
"02","042","999","0137",4,228,1.79999995e+00
"02","042","999","0138",3,1978,1.56499996e+01
"02","043","999","0131",2,571,2.82099991e+01
"02","043","999","0132",4,41,2.02999997e+00
"02","043","999","0133",6,7,3.49999994e-01
"02","043","999","0135",1,982,4.85200005e+01
"02","043","999","0137",5,34,1.67999995e+00
"02","043","999","0138",3,389,1.92199993e+01
"02","044","999","0131",2,2858,3.89399986e+01
"02","044","999","0132",5,96,1.30999994e+00
"02","044","999","0133",6,44,6.00000024e-01
"02","044","999","0135",1,3200,4.35999985e+01
"02","044","999","0137",4,115,1.57000005e+00
"02","044","999","0138",3,1027,1.39899998e+01
"02","045","999","0131",1,3522,3.68600006e+01
"02","045","999","0132",5,127,1.33000004e+00
"02","045","999","0133",6,67,6.99999988e-01
"02","045","999","0135",2,2927,3.06299992e+01
"02","045","999","0137",4,168,1.75999999e+00
"02","045","999","0138",3,2745,2.87299995e+01
"02","046","999","0131",3,573,2.10100002e+01
"02","046","999","0132",4,31,1.13999999e+00
"02","046","999","0133",6,18,6.60000026e-01
"02","046","999","0135",1,1193,4.37500000e+01
"02","046","999","0137",5,27,9.90000010e-01
"02","046","999","0138",2,885,3.24500008e+01
"02","047","999","0131",2,4408,3.45800018e+01
"02","047","999","0132",5,185,1.45000005e+00
"02","047","999","0133",6,88,6.89999998e-01
"02","047","999","0135",1,5043,3.95600014e+01
"02","047","999","0137",4,306,2.40000010e+00
"02","047","999","0138",3,2717,2.13099995e+01
"02","048","999","0131",2,3272,3.99900017e+01
"02","048","999","0132",4,127,1.54999995e+00
"02","048","999","0133",6,52,6.39999986e-01
"02","048","999","0135",1,3292,4.02299995e+01
"02","048","999","0137",5,106,1.29999995e+00
"02","048","999","0138",3,1334,1.62999992e+01
"02","049","999","0131",1,2786,3.68800011e+01
"02","049","999","0132",5,183,2.42000008e+00
"02","049","999","0133",6,78,1.02999997e+00
"02","049","999","0135",2,2697,3.57000008e+01
"02","049","999","0137",4,213,2.81999993e+00
"02","049","999","0138",3,1598,2.11499996e+01
"02","050","999","0131",2,126173,3.22900009e+01
"02","050","999","0132",5,12812,3.27999997e+00
"02","050","999","0133",6,3949,1.00999999e+00
"02","050","999","0135",1,156044,3.99399986e+01
"02","050","999","0137",4,12953,3.31999993e+00
"02","050","999","0138",3,78779,2.01599998e+01
"02","051","999","0131",1,19489,3.83400002e+01
"02","051","999","0132",5,1083,2.13000011e+00
"02","051","999","0133",6,592,1.15999997e+00
"02","051","999","0135",2,15690,3.08700008e+01
"02","051","999","0137",4,1356,2.67000008e+00
"02","051","999","0138",3,12624,2.48299999e+01
"02","052","999","0131",1,85009,3.45099983e+01
"02","052","999","0132",5,7432,3.01999998e+00
"02","052","999","0133",6,2214,8.99999976e-01
"02","052","999","0135",2,80459,3.26599998e+01
