sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","075","999","0138","0138",7787,2.58700008e+01
"02","075","999","0145","0145",7920,2.63099995e+01
"02","076","999","0131","0131",13090,3.23499985e+01
"02","076","999","0132","0132",477,1.17999995e+00
"02","076","999","0137","0137",1179,2.91000009e+00
"02","076","999","0138","0138",7155,1.76900005e+01
"02","076","999","0145","0145",18557,4.58699989e+01
"02","077","999","0131","0131",125461,4.60699997e+01
"02","077","999","0132","0132",6089,2.24000001e+00
"02","077","999","0137","0137",10455,3.83999991e+00
"02","077","999","0138","0138",59886,2.19899998e+01
"02","077","999","0145","0145",70418,2.58600006e+01
"02","078","999","0131","0131",4066,3.05400009e+01
"02","078","999","0132","0132",169,1.26999998e+00
"02","078","999","0137","0137",222,1.66999996e+00
"02","078","999","0138","0138",3691,2.77199993e+01
"02","078","999","0145","0145",5166,3.87999992e+01
"02","079","999","0131","0131",102561,4.44099998e+01
"02","079","999","0132","0132",5335,2.30999994e+00
"02","079","999","0137","0137",8439,3.65000010e+00
"02","079","999","0138","0138",55181,2.38899994e+01
"02","079","999","0145","0145",59436,2.57399998e+01
"02","080","999","0131","0131",60483,2.95200005e+01
"02","080","999","0132","0132",7668,3.74000001e+00
"02","080","999","0137","0137",7913,3.85999990e+00
"02","080","999","0138","0138",35355,1.72600002e+01
"02","080","999","0145","0145",93454,4.56199989e+01
"02","081","999","0131","0131",4228,4.02299995e+01
"02","081","999","0132","0132",86,8.19999993e-01
"02","081","999","0137","0137",116,1.10000002e+00
"02","081","999","0138","0138",1349,1.28400002e+01
"02","081","999","0145","0145",4731,4.50099983e+01
"02","082","999","0131","0131",13054,2.30100002e+01
"02","082","999","0132","0132",1350,2.38000011e+00
"02","082","999","0137","0137",1303,2.29999995e+00
"02","082","999","0138","0138",10484,1.84799995e+01
"02","082","999","0145","0145",30551,5.38400002e+01
"02","083","999","0131","0131",8977,2.94200001e+01
"02","083","999","0132","0132",741,2.43000007e+00
"02","083","999","0137","0137",572,1.87000000e+00
"02","083","999","0138","0138",4034,1.32200003e+01
"02","083","999","0145","0145",16186,5.30499992e+01
"02","084","999","0131","0131",18240,2.69699993e+01
"02","084","999","0132","0132",910,1.35000002e+00
"02","084","999","0137","0137",2302,3.40000010e+00
"02","084","999","0138","0138",15279,2.25900002e+01
"02","084","999","0145","0145",30892,4.56800003e+01
"02","085","999","0131","0131",8935,3.64900017e+01
"02","085","999","0132","0132",351,1.42999995e+00
"02","085","999","0137","0137",464,1.88999999e+00
"02","085","999","0138","0138",4983,2.03500004e+01
"02","085","999","0145","0145",9756,3.98400002e+01
"02","086","999","0131","0131",750,1.90499992e+01
"02","086","999","0132","0132",42,1.07000005e+00
"02","086","999","0137","0137",22,5.60000002e-01
"02","086","999","0138","0138",831,2.11100006e+01
"02","086","999","0145","0145",2292,5.82200012e+01
"02","087","999","0131","0131",17428,2.71599998e+01
"02","087","999","0132","0132",1045,1.63000000e+00
"02","087","999","0137","0137",1717,2.68000007e+00
"02","087","999","0138","0138",10682,1.66399994e+01
"02","087","999","0145","0145",33305,5.19000015e+01
"02","088","999","0131","0131",908,3.83300018e+01
"02","088","999","0132","0132",21,8.89999986e-01
"02","088","999","0137","0137",15,6.29999995e-01
"02","088","999","0138","0138",611,2.57900009e+01
"02","088","999","0145","0145",814,3.43600006e+01
"02","089","999","0131","0131",59363,3.69099998e+01
"02","089","999","0132","0132",2746,1.71000004e+00
"02","089","999","0137","0137",5075,3.16000009e+00
"02","089","999","0138","0138",26334,1.63799992e+01
"02","089","999","0145","0145",67293,4.18499985e+01
"02","090","999","0131","0131",4320,2.59400005e+01
"02","090","999","0132","0132",313,1.88000000e+00
"02","090","999","0137","0137",406,2.44000006e+00
"02","090","999","0138","0138",2646,1.58900003e+01
"02","090","999","0145","0145",8968,5.38499985e+01
"02","091","999","0131","0131",2422,2.24799995e+01
"02","091","999","0132","0132",300,2.77999997e+00
"02","091","999","0137","0137",202,1.87000000e+00
"02","091","999","0138","0138",1018,9.44999981e+00
"02","091","999","0145","0145",6832,6.34099998e+01
"02","092","999","0131","0131",115115,3.57200012e+01
"02","092","999","0132","0132",6248,1.94000006e+00
"02","092","999","0137","0137",12699,3.94000006e+00
"02","092","999","0138","0138",55134,1.71100006e+01
"02","092","999","0145","0145",133083,4.12900009e+01
"02","093","999","0131","0131",7079,3.58499985e+01
"02","093","999","0132","0132",519,2.63000011e+00
"02","093","999","0137","0137",400,2.02999997e+00
"02","093","999","0138","0138",3492,1.76800003e+01
"02","093","999","0145","0145",8257,4.18100014e+01
"02","094","999","0131","0131",3695,3.83300018e+01
"02","094","999","0132","0132",125,1.29999995e+00
"02","094","999","0137","0137",167,1.73000002e+00
"02","094","999","0138","0138",631,6.53999996e+00
"02","094","999","0145","0145",5023,5.20999985e+01
"02","095","999","0131","0131",1171,1.16899996e+01
"02","095","999","0132","0132",70,6.99999988e-01
"02","095","999","0137","0137",84,8.39999974e-01
"02","095","999","0138","0138",2843,2.83899994e+01
"02","095","999","0145","0145",5846,5.83800011e+01
"02","096","999","0131","0131",3038,2.02999992e+01
"02","096","999","0132","0132",279,1.86000001e+00
"02","096","999","0137","0137",273,1.82000005e+00
"02","096","999","0138","0138",3187,2.12999992e+01
"02","096","999","0145","0145",8186,5.47099991e+01
"02","097","999","0131","0131",2637,3.61100006e+01
"02","097","999","0132","0132",59,8.10000002e-01
"02","097","999","0137","0137",92,1.25999999e+00
"02","097","999","0138","0138",1372,1.87900009e+01
"02","097","999","0145","0145",3142,4.30299988e+01
"02","098","999","0131","0131",4002,3.11299992e+01
"02","098","999","0132","0132",739,5.75000000e+00
"02","098","999","0137","0137",228,1.76999998e+00
"02","098","999","0138","0138",1816,1.41300001e+01
"02","098","999","0145","0145",6070,4.72200012e+01
"02","099","999","0131","0131",4885,2.49300003e+01
"02","099","999","0132","0132",69,3.49999994e-01
"02","099","999","0137","0137",370,1.88999999e+00
"02","099","999","0138","0138",2353,1.20100002e+01
"02","099","999","0145","0145",11916,6.08199997e+01
"02","100","999","0131","0131",1802,3.30900002e+01
"02","100","999","0132","0132",29,5.29999971e-01
"02","100","999","0137","0137",28,5.09999990e-01
"02","100","999","0138","0138",576,1.05799999e+01
"02","100","999","0145","0145",3011,5.52900009e+01
"02","101","999","0131","0131",6089,3.14099998e+01
"02","101","999","0132","0132",645,3.32999992e+00
"02","101","999","0137","0137",569,2.93000007e+00
"02","101","999","0138","0138",4016,2.07099991e+01
"02","101","999","0145","0145",8068,4.16199989e+01
"02","102","999","0131","0131",3559,2.68999996e+01
"02","102","999","0132","0132",232,1.75000000e+00
"02","102","999","0137","0137",221,1.66999996e+00
"02","102","999","0138","0138",4018,3.03700008e+01
"02","102","999","0145","0145",5199,3.92999992e+01
"02","103","999","0131","0131",6025,3.86100006e+01
"02","103","999","0132","0132",141,8.99999976e-01
"02","103","999","0137","0137",420,2.69000006e+00
"02","103","999","0138","0138",1515,9.71000004e+00
"02","103","999","0145","0145",7505,4.80900002e+01
