sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0070","X","0701","3016",2,63
"20","001","003","0003 ","0070","X","0701","3036",3,28
"20","001","003","0003 ","0070","X","0701","3100",4,3
"20","001","003","0003 ","0070","X","0701","3113",5,8
"20","001","003","0003 ","0070","X","0701","3139",6,4
"20","001","003","0003 ","0070","X","0702","3013",1,10
"20","001","003","0003 ","0070","X","0702","3052",2,8
"20","001","003","0003 ","0070","X","0702","3116",3,33
"20","001","003","0003 ","0070","X","0702","3119",4,16
"20","001","003","0003 ","0070","X","0702","3125",5,4
"20","001","003","0003 ","0070","X","0702","3136",6,11
"20","001","003","0003 ","0071","X","0701","3015",1,15
"20","001","003","0003 ","0071","X","0701","3016",2,49
"20","001","003","0003 ","0071","X","0701","3036",3,23
"20","001","003","0003 ","0071","X","0701","3100",4,8
"20","001","003","0003 ","0071","X","0701","3113",5,6
"20","001","003","0003 ","0071","X","0701","3139",6,5
"20","001","003","0003 ","0071","X","0702","3013",1,3
"20","001","003","0003 ","0071","X","0702","3052",2,3
"20","001","003","0003 ","0071","X","0702","3116",3,25
"20","001","003","0003 ","0071","X","0702","3119",4,13
"20","001","003","0003 ","0071","X","0702","3125",5,6
"20","001","003","0003 ","0071","X","0702","3136",6,13
"20","001","003","0003 ","0072","X","0701","3015",1,6
"20","001","003","0003 ","0072","X","0701","3016",2,55
"20","001","003","0003 ","0072","X","0701","3036",3,16
"20","001","003","0003 ","0072","X","0701","3100",4,0
"20","001","003","0003 ","0072","X","0701","3113",5,0
"20","001","003","0003 ","0072","X","0701","3139",6,4
"20","001","003","0003 ","0072","X","0702","3013",1,5
"20","001","003","0003 ","0072","X","0702","3052",2,2
"20","001","003","0003 ","0072","X","0702","3116",3,7
"20","001","003","0003 ","0072","X","0702","3119",4,7
"20","001","003","0003 ","0072","X","0702","3125",5,1
"20","001","003","0003 ","0072","X","0702","3136",6,4
"20","001","003","0003 ","0073","X","0701","3015",1,8
"20","001","003","0003 ","0073","X","0701","3016",2,32
"20","001","003","0003 ","0073","X","0701","3036",3,33
"20","001","003","0003 ","0073","X","0701","3100",4,4
