sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0063","X","0701","3023",2,11
"20","001","003","0003 ","0063","X","0701","3038",3,4
"20","001","003","0003 ","0063","X","0701","3043",4,3
"20","001","003","0003 ","0063","X","0701","3051",5,1
"20","001","003","0003 ","0063","X","0701","3088",6,8
"20","001","003","0003 ","0063","X","0701","3138",7,5
"20","001","003","0003 ","0063","X","0702","3097",1,0
"20","001","003","0003 ","0063","X","0702","3118",2,10
"20","001","003","0003 ","0063","X","0702","3121",3,57
"20","001","003","0003 ","0064","X","0701","3006",1,61
"20","001","003","0003 ","0064","X","0701","3023",2,3
"20","001","003","0003 ","0064","X","0701","3038",3,9
"20","001","003","0003 ","0064","X","0701","3043",4,0
"20","001","003","0003 ","0064","X","0701","3051",5,2
"20","001","003","0003 ","0064","X","0701","3088",6,9
"20","001","003","0003 ","0064","X","0701","3138",7,4
"20","001","003","0003 ","0064","X","0702","3097",1,0
"20","001","003","0003 ","0064","X","0702","3118",2,12
"20","001","003","0003 ","0064","X","0702","3121",3,62
"20","001","003","0003 ","0065","X","0701","3006",1,56
"20","001","003","0003 ","0065","X","0701","3023",2,3
"20","001","003","0003 ","0065","X","0701","3038",3,11
"20","001","003","0003 ","0065","X","0701","3043",4,4
"20","001","003","0003 ","0065","X","0701","3051",5,3
"20","001","003","0003 ","0065","X","0701","3088",6,11
"20","001","003","0003 ","0065","X","0701","3138",7,3
"20","001","003","0003 ","0065","X","0702","3097",1,4
"20","001","003","0003 ","0065","X","0702","3118",2,10
"20","001","003","0003 ","0065","X","0702","3121",3,62
"20","001","003","0003 ","0066","X","0701","3006",1,61
"20","001","003","0003 ","0066","X","0701","3023",2,5
"20","001","003","0003 ","0066","X","0701","3038",3,11
"20","001","003","0003 ","0066","X","0701","3043",4,2
"20","001","003","0003 ","0066","X","0701","3051",5,0
"20","001","003","0003 ","0066","X","0701","3088",6,3
"20","001","003","0003 ","0066","X","0701","3138",7,9
"20","001","003","0003 ","0066","X","0702","3097",1,1
"20","001","003","0003 ","0066","X","0702","3118",2,22
"20","001","003","0003 ","0066","X","0702","3121",3,58
"20","001","003","0003 ","0067","X","0701","3006",1,67
"20","001","003","0003 ","0067","X","0701","3023",2,4
"20","001","003","0003 ","0067","X","0701","3038",3,10
"20","001","003","0003 ","0067","X","0701","3043",4,4
"20","001","003","0003 ","0067","X","0701","3051",5,3
"20","001","003","0003 ","0067","X","0701","3088",6,4
"20","001","003","0003 ","0067","X","0701","3138",7,1
"20","001","003","0003 ","0067","X","0702","3097",1,1
"20","001","003","0003 ","0067","X","0702","3118",2,22
"20","001","003","0003 ","0067","X","0702","3121",3,56
"20","001","003","0003 ","0068","X","0701","3006",1,77
"20","001","003","0003 ","0068","X","0701","3023",2,3
"20","001","003","0003 ","0068","X","0701","3038",3,9
"20","001","003","0003 ","0068","X","0701","3043",4,0
"20","001","003","0003 ","0068","X","0701","3051",5,2
"20","001","003","0003 ","0068","X","0701","3088",6,1
"20","001","003","0003 ","0068","X","0701","3138",7,4
"20","001","003","0003 ","0068","X","0702","3097",1,11
"20","001","003","0003 ","0068","X","0702","3118",2,11
"20","001","003","0003 ","0068","X","0702","3121",3,54
"20","001","003","0003 ","0069","X","0701","3006",1,68
"20","001","003","0003 ","0069","X","0701","3023",2,0
"20","001","003","0003 ","0069","X","0701","3038",3,14
"20","001","003","0003 ","0069","X","0701","3043",4,2
"20","001","003","0003 ","0069","X","0701","3051",5,3
"20","001","003","0003 ","0069","X","0701","3088",6,5
"20","001","003","0003 ","0069","X","0701","3138",7,6
"20","001","003","0003 ","0069","X","0702","3097",1,0
"20","001","003","0003 ","0069","X","0702","3118",2,13
"20","001","003","0003 ","0069","X","0702","3121",3,47
"20","001","003","0003 ","0070","X","0701","3006",1,73
"20","001","003","0003 ","0070","X","0701","3023",2,5
"20","001","003","0003 ","0070","X","0701","3038",3,14
"20","001","003","0003 ","0070","X","0701","3043",4,1
"20","001","003","0003 ","0070","X","0701","3051",5,4
"20","001","003","0003 ","0070","X","0701","3088",6,5
"20","001","003","0003 ","0070","X","0701","3138",7,1
"20","001","003","0003 ","0070","X","0702","3097",1,9
"20","001","003","0003 ","0070","X","0702","3118",2,15
"20","001","003","0003 ","0070","X","0702","3121",3,54
"20","001","003","0003 ","0071","X","0701","3006",1,65
"20","001","003","0003 ","0071","X","0701","3023",2,5
"20","001","003","0003 ","0071","X","0701","3038",3,14
"20","001","003","0003 ","0071","X","0701","3043",4,1
"20","001","003","0003 ","0071","X","0701","3051",5,4
"20","001","003","0003 ","0071","X","0701","3088",6,7
"20","001","003","0003 ","0071","X","0701","3138",7,6
"20","001","003","0003 ","0071","X","0702","3097",1,51
"20","001","003","0003 ","0071","X","0702","3118",2,13
"20","001","003","0003 ","0071","X","0702","3121",3,0
"20","001","003","0003 ","0072","X","0701","3006",1,67
"20","001","003","0003 ","0072","X","0701","3023",2,7
"20","001","003","0003 ","0072","X","0701","3038",3,10
"20","001","003","0003 ","0072","X","0701","3043",4,2
"20","001","003","0003 ","0072","X","0701","3051",5,10
"20","001","003","0003 ","0072","X","0701","3088",6,6
"20","001","003","0003 ","0072","X","0701","3138",7,4
"20","001","003","0003 ","0072","X","0702","3097",1,1
"20","001","003","0003 ","0072","X","0702","3118",2,16
"20","001","003","0003 ","0072","X","0702","3121",3,50
"20","001","003","0003 ","0073","X","0701","3006",1,61
"20","001","003","0003 ","0073","X","0701","3023",2,4
"20","001","003","0003 ","0073","X","0701","3038",3,11
"20","001","003","0003 ","0073","X","0701","3043",4,2
"20","001","003","0003 ","0073","X","0701","3051",5,2
