pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipEscrutado,prePorcParticipEscrutado,preParticipacion,preCandidatos,OT_Codigo,OT_Votos,OT_PVotos
"02","097","999",32,31,9.68799973e+01,7883,9.94700012e+01,7302,9.21399994e+01,581,7.32999992e+00,36,4.49999988e-01,6,7.99999982e-02,10032,7925,7.90000000e+01,,8.18499985e+01,,,"9997",0,0.00000000e+00
"02","098","999",55,54,9.81800003e+01,13596,9.89199982e+01,12855,9.35299988e+01,741,5.38999987e+00,142,1.02999997e+00,6,5.00000007e-02,18027,13744,7.62399979e+01,,7.77500000e+01,,,"9997",0,0.00000000e+00
"02","099","999",82,82,1.00000000e+02,21837,9.93700027e+01,19593,8.91600037e+01,2244,1.02100000e+01,135,6.10000014e-01,3,1.99999996e-02,26889,21975,8.17200012e+01,,8.17200012e+01,,,"9997",0,0.00000000e+00
"02","100","999",24,23,9.58300018e+01,6088,9.97500000e+01,5446,8.92300034e+01,642,1.05200005e+01,10,1.59999996e-01,5,9.00000036e-02,7712,6103,7.91399994e+01,,8.28899994e+01,,,"9997",0,0.00000000e+00
"02","101","999",82,80,9.75599976e+01,21331,9.98199997e+01,19387,9.07200012e+01,1944,9.10000038e+00,37,1.70000002e-01,1,9.99999978e-03,27369,21369,7.80800018e+01,,8.01200027e+01,,,"9997",0,0.00000000e+00
"02","102","999",57,57,1.00000000e+02,15343,9.98300018e+01,13229,8.60800018e+01,2114,1.37500000e+01,20,1.29999995e-01,6,3.99999991e-02,18564,15369,8.27900009e+01,,8.27900009e+01,,,"9997",0,0.00000000e+00
"02","103","999",60,60,1.00000000e+02,16777,9.96500015e+01,15606,9.26900024e+01,1171,6.96000004e+00,51,3.00000012e-01,8,5.00000007e-02,19532,16836,8.61999969e+01,,8.61999969e+01,,,"9997",0,0.00000000e+00
"02","104","999",25,24,9.60000000e+01,5751,9.98399963e+01,5196,9.02099991e+01,555,9.64000034e+00,9,1.59999996e-01,0,0.00000000e+00,7159,5760,8.04599991e+01,,8.13300018e+01,,,"9997",0,0.00000000e+00
"02","105","999",382,369,9.65999985e+01,100936,9.95999985e+01,93327,9.20899963e+01,7609,7.51000023e+00,333,3.30000013e-01,71,7.00000003e-02,132188,101340,7.66600037e+01,,7.93899994e+01,,,"9997",0,0.00000000e+00
"02","106","999",799,790,9.88700027e+01,216676,9.93799973e+01,207555,9.51900024e+01,9121,4.17999983e+00,1116,5.09999990e-01,243,1.19999997e-01,281226,218035,7.75299988e+01,,7.84100037e+01,,,"9997",0,0.00000000e+00
"02","107","999",351,348,9.91500015e+01,97259,9.94800034e+01,88781,9.08099976e+01,8478,8.67000008e+00,485,5.00000000e-01,27,1.99999996e-02,120784,97771,8.09499969e+01,,8.16600037e+01,,,"9997",0,0.00000000e+00
