parCodigo,parSiglas,parDenominacion,parColor
"0670","C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE             ","C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE                                                               ","D99795"
"0672","UNION VECINAL DE ADOLFO GONZALES CHAVES           ","UNION VECINAL DE ADOLFO GONZALES CHAVES                                                             ","95B3D7"
"0673","CONSTRUCCION SOCIAL PARTICIPATIVA                 ","CONSTRUCCION SOCIAL PARTICIPATIVA                                                                   ","990000"
"0674","RENOVACION PARA JUNIN                             ","RENOVACION PARA JUNIN                                                                               ","6666FF"
"0693","ACCION PINAMARENSE-AP                             ","ACCION PINAMARENSE-AP                                                                               ","33CC33"
"0697","ACCION POR VILLARINO                              ","ACCION POR VILLARINO                                                                                ","414141"
"0701","UNION PARA VIVIR MEJOR                            ","UNION PARA VIVIR MEJOR                                                                              ","86A3EA"
"0702","FRENTE PARA LA VICTORIA SANTACRUCEÑA              ","FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ","68C1EA"
"0703","ENCUENTRO POR ROJAS                               ","ENCUENTRO POR ROJAS                                                                                 ","4BACC6"
"0705","CON VOCACION POR SAN ISIDRO                       ","CON VOCACION POR SAN ISIDRO                                                                         ","ff0000"
"0734","VIENTOS DEL SUR-VISUR                             ","VIENTOS DEL SUR-VISUR                                                                               ","75923C"
"0737","PROPUESTA PINAMAR-PROPIN                          ","PROPUESTA PINAMAR-PROPIN                                                                            ","9933FF"
"0739","JUNTOS POR DORREGO                                ","JUNTOS POR DORREGO                                                                                  ","993366"
"0742","AGRUPACION VECINAL UNION POR MORON                ","AGRUPACION VECINAL UNION POR MORON                                                                  ","CC3300"
"0748","CRECER                                            ","CRECER                                                                                              ","CC0066"
"0750","TODOS VECINOS                                     ","TODOS VECINOS                                                                                       ","F2DDDC"
"0754","UNION DEL PUEBLO LA PLATA                         ","UNION DEL PUEBLO LA PLATA                                                                           ","FDE9D9"
"0758","UNA NUEVA OPORTUNIDAD SUARENSE-UNOS               ","UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ","D7E4BC"
"0768","CAUSA POPULAR BRANDSEN                            ","CAUSA POPULAR BRANDSEN                                                                              ","D7E4BC"
"0769","MIRADA AMPLIA REGIONAL                            ","MIRADA AMPLIA REGIONAL                                                                              ","00B050"
"0774","VECINOS EN ACCION PINAMAR-VENAP                   ","VECINOS EN ACCION PINAMAR-VENAP                                                                     ","F2DDDC"
"0777","AGR.MUNICIPAL DE INT.PACEÑA                       ","AGR.MUNICIPAL DE INT.PACEÑA                                                                         ","E46D0A"
"0782","UNIDAD PACEÑA                                     ","UNIDAD PACEÑA                                                                                       ","663300"
"0787","SOMOS RODRIGUEZ                                   ","SOMOS RODRIGUEZ                                                                                     ","663300"
"0789","ACUERDO CIUDADANO X TRENQUE LAUQUEN               ","ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ","CCFFCC"
"0792","UNION VECINAL SALLIQUELO                          ","UNION VECINAL SALLIQUELO                                                                            ","CCFF66"
"0794","VAMOS                                             ","VAMOS                                                                                               ","33CCCC"
"0799","UNIDOS POR NECOCHEA                               ","UNIDOS POR NECOCHEA                                                                                 ","CCECFF"
"0803","FRENTE MXC MERC Y SANLUISEÑOS                     ","FRENTE MXC MERC Y SANLUISEÑOS                                                                       ","4D4D4D"
"0821","JUNTOS POR SAN JUAN                               ","JUNTOS POR SAN JUAN                                                                                 ","538ED5"
"0900","FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICT ","FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICTORIA                                               ","DC206B"
"0901","FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS  ","FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS Y EL TRABAJO                                       ","A8E9EE"
"0902","PROYECTO AGRARIO Y SOCIAL PAYS                    ","PROYECTO AGRARIO Y SOCIAL PAYS                                                                      ","14EFA9"
"0903","VAMOS JUNTOS                                      ","VAMOS JUNTOS                                                                                        ","331515"
"0905","FRENTE CIVICO Y SOCIAL                            ","FRENTE CIVICO Y SOCIAL                                                                              ","15667B"
"0906","UNIDOS POR UNA NUEVA ALTERNATIVA                  ","UNIDOS POR UNA NUEVA ALTERNATIVA                                                                    ","2A2A66"
"0907","FRENTE UNIDOS UNA                                 ","FRENTE UNIDOS UNA                                                                                   ","486964"
"1806","ALIANZA FRENTE MARPLATENSE                        ","ALIANZA FRENTE MARPLATENSE                                                                          ","FF99CC"
"3001","17 DE OCTUBRE                                     ","17 DE OCTUBRE                                                                                       ","AAC80B"
"3002","1ª OPCION PARA LOS JOVENES                        ","1ª OPCION PARA LOS JOVENES                                                                          ","CC1515"
"3003","28 PARA TODOS                                     ","28 PARA TODOS                                                                                       ","7B9915"
"3004","28 SOMOS TODOS                                    ","28 SOMOS TODOS                                                                                      ","48E166"
"3005","ABANDERADA DE LOS HUMILDES                        ","ABANDERADA DE LOS HUMILDES                                                                          ","745656"
"3006","ACEPTA EL DESAFIO                                 ","ACEPTA EL DESAFIO                                                                                   ","60DFDB"
"3007","ACEPTA EL DESAFIO                                 ","ACEPTA EL DESAFIO                                                                                   ","3F3F99"
"3008","AGRUPACION FRENTE ANTIGUENSE                      ","AGRUPACION FRENTE ANTIGUENSE                                                                        ","8AC551"
"3009","AHORA SI                                          ","AHORA SI                                                                                            ","AE4833"
"3010","AHORA SI VAMOS A CAMBIAR                          ","AHORA SI VAMOS A CAMBIAR                                                                            ","CC487B"
"3011","AHORA TRUNCADO                                    ","AHORA TRUNCADO                                                                                      ","311435"
"3012","ARRIBA RIO TURBIO                                 ","ARRIBA RIO TURBIO                                                                                   ","00157B"
"3013","BASES PARA SEGUIR CONSTRUYENDO                    ","BASES PARA SEGUIR CONSTRUYENDO                                                                      ","0811F1"
"3014","CALAFATE AVANZA                                   ","CALAFATE AVANZA                                                                                     ","13FE0D"
"3015","CALETA TIENE FUTURO                               ","CALETA TIENE FUTURO                                                                                 ","0BF9D1"
"3016","CALETA VA A VIVIR MEJOR                           ","CALETA VA A VIVIR MEJOR                                                                             ","EC18D1"
"3017","CAMBIAS VOS CAMBIA PICO TRUNCADO                  ","CAMBIAS VOS CAMBIA PICO TRUNCADO                                                                    ","15C583"
