vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","057","999","0131",2,2834,4.05600014e+01
"02","057","999","0132",5,47,6.70000017e-01
"02","057","999","0137",4,67,9.59999979e-01
"02","057","999","0138",3,655,9.36999989e+00
"02","057","999","0145",1,3384,4.84300003e+01
"02","058","999","0131",2,2004,3.80800018e+01
"02","058","999","0132",5,25,4.79999989e-01
"02","058","999","0137",4,57,1.08000004e+00
"02","058","999","0138",3,469,8.90999985e+00
"02","058","999","0145",1,2707,5.14399986e+01
"02","059","999","0131",2,4619,3.76899986e+01
"02","059","999","0132",5,256,2.08999991e+00
"02","059","999","0137",4,273,2.23000002e+00
"02","059","999","0138",3,1918,1.56499996e+01
"02","059","999","0145",1,5189,4.23400002e+01
"02","060","999","0131",2,15240,2.72399998e+01
"02","060","999","0132",5,1063,1.89999998e+00
"02","060","999","0137",4,1234,2.21000004e+00
"02","060","999","0138",3,12418,2.21900005e+01
"02","060","999","0145",1,25995,4.64599991e+01
"02","061","999","0131",1,331642,4.66599998e+01
"02","061","999","0132",5,15735,2.21000004e+00
"02","061","999","0137",4,29880,4.19999981e+00
"02","061","999","0138",3,135300,1.90400009e+01
"02","061","999","0145",2,198166,2.78799992e+01
"02","062","999","0131",2,95815,3.43400002e+01
"02","062","999","0132",5,6653,2.38000011e+00
"02","062","999","0137",4,11901,4.26000023e+00
"02","062","999","0138",3,51614,1.85000000e+01
"02","062","999","0145",1,113067,4.05200005e+01
"02","063","999","0131",2,114340,2.88799992e+01
"02","063","999","0132",5,13800,3.49000001e+00
"02","063","999","0137",4,21991,5.55999994e+00
"02","063","999","0138",3,61614,1.55600004e+01
"02","063","999","0145",1,184129,4.65099983e+01
"02","064","999","0131",2,3175,4.50200005e+01
"02","064","999","0132",5,79,1.12000000e+00
"02","064","999","0137",4,105,1.49000001e+00
"02","064","999","0138",3,478,6.78000021e+00
"02","064","999","0145",1,3216,4.55999985e+01
"02","065","999","0131",2,4701,3.19099998e+01
"02","065","999","0132",4,618,4.19999981e+00
"02","065","999","0137",5,430,2.92000008e+00
"02","065","999","0138",3,1860,1.26300001e+01
"02","065","999","0145",1,7122,4.83499985e+01
"02","066","999","0131",2,4072,3.74099998e+01
"02","066","999","0132",5,119,1.09000003e+00
"02","066","999","0137",4,207,1.89999998e+00
"02","066","999","0138",3,1734,1.59300003e+01
"02","066","999","0145",1,4752,4.36599998e+01
"02","067","999","0131",2,9403,3.37999992e+01
"02","067","999","0132",5,305,1.10000002e+00
"02","067","999","0137",4,393,1.40999997e+00
"02","067","999","0138",3,2992,1.07600002e+01
"02","067","999","0145",1,14725,5.29300003e+01
"02","068","999","0131",2,3596,3.26300011e+01
"02","068","999","0132",5,74,6.70000017e-01
"02","068","999","0137",4,134,1.22000003e+00
"02","068","999","0138",3,1087,9.85999966e+00
"02","068","999","0145",1,6131,5.56300011e+01
"02","069","999","0131",2,6774,3.03700008e+01
"02","069","999","0132",5,341,1.52999997e+00
"02","069","999","0137",4,479,2.15000010e+00
"02","069","999","0138",3,3401,1.52500000e+01
"02","069","999","0145",1,11313,5.07099991e+01
"02","070","999","0131",1,151661,4.22400017e+01
"02","070","999","0132",5,9625,2.68000007e+00
"02","070","999","0137",4,15636,4.36000013e+00
"02","070","999","0138",3,59672,1.66200008e+01
"02","070","999","0145",2,122413,3.40999985e+01
"02","071","999","0131",2,16134,2.67900009e+01
"02","071","999","0132",5,1523,2.52999997e+00
"02","071","999","0137",4,1655,2.75000000e+00
"02","071","999","0138",3,11325,1.87999992e+01
"02","071","999","0145",1,29594,4.91300011e+01
"02","072","999","0131",3,2486,2.40900002e+01
"02","072","999","0132",5,114,1.10000002e+00
"02","072","999","0137",4,223,2.16000009e+00
"02","072","999","0138",2,2682,2.59899998e+01
"02","072","999","0145",1,4816,4.66599998e+01
"02","073","999","0131",2,1763,2.43299999e+01
"02","073","999","0132",5,80,1.10000002e+00
"02","073","999","0137",4,134,1.85000002e+00
"02","073","999","0138",3,935,1.29099998e+01
"02","073","999","0145",1,4333,5.98100014e+01
"02","074","999","0131",2,6354,3.89000015e+01
"02","074","999","0132",5,232,1.41999996e+00
"02","074","999","0137",4,282,1.73000002e+00
"02","074","999","0138",3,1789,1.09499998e+01
"02","074","999","0145",1,7678,4.70000000e+01
"02","075","999","0131",1,12931,4.29599991e+01
"02","075","999","0132",5,513,1.70000005e+00
"02","075","999","0137",4,949,3.15000010e+00
"02","075","999","0138",3,7787,2.58700008e+01
"02","075","999","0145",2,7920,2.63099995e+01
"02","076","999","0131",2,13090,3.23499985e+01
"02","076","999","0132",5,477,1.17999995e+00
"02","076","999","0137",4,1179,2.91000009e+00
"02","076","999","0138",3,7155,1.76900005e+01
"02","076","999","0145",1,18557,4.58699989e+01
"02","077","999","0131",1,125461,4.60699997e+01
"02","077","999","0132",5,6089,2.24000001e+00
"02","077","999","0137",4,10455,3.83999991e+00
"02","077","999","0138",3,59886,2.19899998e+01
"02","077","999","0145",2,70418,2.58600006e+01
"02","078","999","0131",2,4066,3.05400009e+01
"02","078","999","0132",5,169,1.26999998e+00
"02","078","999","0137",4,222,1.66999996e+00
"02","078","999","0138",3,3691,2.77199993e+01
"02","078","999","0145",1,5166,3.87999992e+01
"02","079","999","0131",1,102561,4.44099998e+01
"02","079","999","0132",5,5335,2.30999994e+00
"02","079","999","0137",4,8439,3.65000010e+00
"02","079","999","0138",3,55181,2.38899994e+01
"02","079","999","0145",2,59436,2.57399998e+01
"02","080","999","0131",2,60483,2.95200005e+01
"02","080","999","0132",5,7668,3.74000001e+00
"02","080","999","0137",4,7913,3.85999990e+00
"02","080","999","0138",3,35355,1.72600002e+01
"02","080","999","0145",1,93454,4.56199989e+01
"02","081","999","0131",2,4228,4.02299995e+01
"02","081","999","0132",5,86,8.19999993e-01
